future,rate,time
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
DAWN-PERP,-0.000117,2021-04-06T10:00:00+00:00
